Occupation,Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,Number of Jobs,Job Outlook,Employment Change
Data Scientist,108020,Bachelor's degree,None,None,202900,36,73100
Economist,115730,Master's degree,None,None,17500,5,900
Actuary,120000,Bachelor's degree,None,Long-term on-the-job training,30200,22,6600
Accountant,79880,Bachelor's degree,None,None,1562000,6,91400
Statistician,104860,Master's degree,None,None,34800,11,3900
Logistician,79400,Bachelor's degree,None,None,237100,19,45800
Clinical Laboratory Technologists and Technicians,60780,Bachelor's degree,None,None,344200,5,18200
"Property, Real Estate, and Community Association Managers",62850,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,467100,3,15100
,,,,,,,
,,,,,,,